ສະບາຍດີ,ສະບາຍດີ ມີຫຍັງໃຫ້ຊ່ວຍບໍ
ຫຼັງຈາກຜ່ານການສອບເສັງຄັດເລືອກຫຼັກສູດປະລິນຍາໂທແລ້ວຈະມີການສຳພາດອີກບໍ,ການສຳພາດພາຍຫຼັງການສອບເສັງຄັດເລືອກ ສຳລັບຫຼັກສູດປະລິນຍາໂທ ແມ່ນຈະມີການຄັດເລືອກໃນຮູບແບບການສຳພາດອີກ
ສາຂາວິທະຍາສາດຄອມພິວເຕີໄດ້ຮຽນເລກບໍ,ອີງຕາມແຜນການຈັດຕັ້ງການຮຽນ-ການສອນ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ຄະນິດສາດຖືວ່າເປັນໝວດວິຊາພື້ນຖານວິຊາສະເພາະ ສະນັ້ນ ໃນສາຂາວິທະຍາສາດຄອມພິວເຕີຈຶ່ງມີການຮຽນ-ການສອນວິຊາຄະນິດສາດ
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີໄດ້ຮຽນເລກບໍ,ອີງຕາມແຜນການຈັດຕັ້ງການຮຽນ-ການສອນ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ຄະນິດສາດຖືວ່າເປັນໝວດວິຊາພື້ນຖານວິຊາສະເພາະ ສະນັ້ນ ໃນສາຂາວິທະຍາສາດຄອມພິວເຕີຈຶ່ງມີການຮຽນ-ການສອນວິຊາຄະນິດສາດ
ໃນສາຂາວິທະຍາສາດຄອມພິວເຕີໄດ້ຮຽນພາສາໂປຣແກຣມບໍ,"ແມ່ນແລ້ວ, ໃນສາຂາວິທະຍາສາດຄອມພິວເຕີແມ່ນຈະໄດ້ຮຽນພາສາໂປຣແກຣມຕ່າງໆທີ່ກ່ຽວຂ້ອງກັບລາຍວິຊາຮຽນ ເຊິ່ງຈະແຕກຕ່າງກັນຕາມແຕ່ລະຫຼັກສູດ"
ໃນຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີໄດ້ຮຽນພາສາໂປຣແກຣມບໍ,"ແມ່ນແລ້ວ, ໃນສາຂາວິທະຍາສາດຄອມພິວເຕີແມ່ນຈະໄດ້ຮຽນພາສາໂປຣແກຣມຕ່າງໆທີ່ກ່ຽວຂ້ອງກັບລາຍວິຊາຮຽນເຊັ່ນ: C, Python, R, SQL, Dart ແລະ C# ເປັນຕົ້ນ"
ຄ່າຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີເທົ່າໃດ,"ຄ່າຮຽນຂອງແຕ່ລະສາຂາແມ່ນຈະໄລ່ຕາມໜ່ວຍກິດຂອງວິຊາຮຽນໃນແຕ່ລະປີ ແລະ ຄ່າອື່ນໆເຊັ່ນ: ຄ່າບູລະນະຫ້ອງທົດລອງ, ຄ່າລົງທະບຽນ, ແລະ ຄ່າຫໍສະໝຸດ ເຊິ່ງຈະຕ່າງກັນໃນແຕ່ລະປີ ແລະ ຫຼັກສູດ"
ສາຂາວິທະຍາສາດຄອມພິວເຕີຄ່າຮຽນເທົ່າໃດ,"ຄ່າຮຽນຂອງແຕ່ລະສາຂາແມ່ນຈະໄລ່ຕາມໜ່ວຍກິດຂອງວິຊາຮຽນໃນແຕ່ລະປີ ແລະ ຄ່າອື່ນໆເຊັ່ນ: ຄ່າບູລະນະຫ້ອງທົດລອງ, ຄ່າລົງທະບຽນ, ແລະ ຄ່າຫໍສະໝຸດ ເຊິ່ງຈະຕ່າງກັນໃນແຕ່ລະປີ ແລະ ຫຼັກສູດ"
ຄ່າຮຽນຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີເທົ່າໃດ,"ຄ່າຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີແມ່ນຈະຕ່າງກັນໃນແຕ່ລະຊັ້ນປີຮຽນ ເຊິ່ງລວມທັງໝົດທັງ 4 ປີແມ່ນເປັນຈຳນວນເງິນ 6,035,000 ກີບ"
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີຄ່າຮຽນເທົ່າໃດ,"ຄ່າຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີແມ່ນຈະຕ່າງກັນໃນແຕ່ລະຊັ້ນປີຮຽນ ເຊິ່ງລວມທັງໝົດທັງ 4 ປີແມ່ນເປັນຈຳນວນເງິນ 6,035,000 ກີບ"
ຄ່າຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີ ປີ 1 ເທົ່າໃດ,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ສາຂາວິທະຍາສາດຄອມພິວເຕີ ປີ 1 ຄ່າຮຽນເທົ່າໃດ,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ຄ່າຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີ ປີ 2 ເທົ່າໃດ,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ສາຂາວິທະຍາສາດຄອມພິວເຕີ ປີ 2 ຄ່າຮຽນເທົ່າໃດ,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ຄ່າຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີ ປີ 3 ເທົ່າໃດ,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ສາຂາວິທະຍາສາດຄອມພິວເຕີ ປີ 3 ຄ່າຮຽນເທົ່າໃດ,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ຄ່າຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີ ປີ 4 ເທົ່າໃດ,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ສາຂາວິທະຍາສາດຄອມພິວເຕີ ປີ 4 ຄ່າຮຽນເທົ່າໃດ,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ຄ່າຮຽນຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 1 ແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີປີ 1 ໂດຍລວມແມ່ນ 1,605,000 ກີບ"
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 1 ຄ່າຮຽນແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີປີ 1 ໂດຍລວມແມ່ນ 1,605,000 ກີບ"
ຄ່າຮຽນຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 2 ແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີປີ 2 ໂດຍລວມແມ່ນ 1,640,000 ກີບ"
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 2 ຄ່າຮຽນແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີປີ 2 ໂດຍລວມແມ່ນ 1,640,000 ກີບ"
ຄ່າຮຽນຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 3 ແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີປີ 3 ໂດຍລວມແມ່ນ 1,570,000 ກີບ"
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 3 ຄ່າຮຽນແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີປີ 3 ໂດຍລວມແມ່ນ 1,570,000 ກີບ"
ຄ່າຮຽນຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 4 ແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີປີ 4 ໂດຍລວມແມ່ນ 1,220,000 ກີບ"
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 4 ຄ່າຮຽນແມ່ນເທົ່າໃດ,"ຄ່າຮຽນຂອງສາຂາວິທະຍາສາດຄອມພິວເຕີຫຼັກສູດປະລິນຍາຕີປີ 4 ໂດຍລວມແມ່ນ 1,220,000 ກີບ"
ສາຂາວິທະຍາສາດຄອມພິວເຕີມີຈັກໜ່ວຍກິດ,"ສາຂາວິທະຍາສາດຄອມພິວເຕີແມ່ນມີ 3 ຫຼັກສູດຄື: ຫຼັກສູດປະລິນຍາຕີ ມີ 137 ໜ່ວຍກິດ, ຫຼັກສູດປະລິນຍາຕີຕໍ່ເນື່ອງ ມີ 64 ໜ່ວຍກິດ ແລະ ຫຼັກສູດປະລິນຍາໂທ ມີ 46 ໜ່ວຍກິດ"
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີມີຈັກໜ່ວຍກິດ,ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ປະກອບມີຈຳນວນໜ່ວຍກິດລວມທັງໝົດທັງ 4 ປີຈຳນວນ 137 ໜ່ວຍກິດ
ສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 1 ມີຈັກໜ່ວຍກິດ,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 1 ມີຈັກໜ່ວຍກິດ,ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ປີ 1 ປະກອບມີ 37 ໜ່ວຍກິດຄື: ພາກຮຽນ 1 ມີ 19 ໜ່ວຍກິດ ແລະ ພາກຮຽນ 2 ມີ 18 ໜ່ວຍກິດ
ສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 2 ມີຈັກໜ່ວຍກິດ,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 2 ມີຈັກໜ່ວຍກິດ,ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ປີ 2 ປະກອບມີ 38 ໜ່ວຍກິດຄື: ພາກຮຽນ 1 ມີ 18 ໜ່ວຍກິດ ແລະ ພາກຮຽນ 2 ມີ 20 ໜ່ວຍກິດ
ສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 3 ມີຈັກໜ່ວຍກິດ,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 3 ມີຈັກໜ່ວຍກິດ,ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ປີ 3 ປະກອບມີ 36 ໜ່ວຍກິດຄື: ພາກຮຽນ 1 ມີ 18 ໜ່ວຍກິດ ແລະ ພາກຮຽນ 2 ມີ 18 ໜ່ວຍກິດ
ສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 4 ມີຈັກໜ່ວຍກິດ,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 4 ມີຈັກໜ່ວຍກິດ,ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ປີ 4 ປະກອບມີ 26 ໜ່ວຍກິດຄື: ພາກຮຽນ 1 ມີ 17 ໜ່ວຍກິດ ແລະ ພາກຮຽນ 2 ມີ 9 ໜ່ວຍກິດ
ຫຼັກສູດປະລິນຍາຕີເສຍຄ່າທຳນຽມຫຍັງແນ່,"ໃນສ່ວນນີ້ແມ່ນຈະຄືກັນໝົດ ຄ່າຮຽນຈະຕ່າງກັນແມ່ນຂຶ້ນຢູ່ກັບຄ່າໜ່ວຍກິດ ເຊິ່ງລາຍລະອຽດໃນການເສຍຄ່າຮຽນທັງໝົດແມ່ນມີ: ຄ່າລົງທະບຽນ 210,000 ກີບ, ຄ່າໜ່ວຍກິດ 35,000 ກີບ ຕໍ່ໜ່ວຍກິດ, ຄ່າບັດຫໍສະໝຸດ 30,000 ກີບ ແລະ ຄ່າບູລະນະຫ້ອງທົດລອງຄອມພິວເຕີ 70,000 ກີບ"
ສາຂາວິທະຍາສາດຄອມພິວເຕີເສຍຄ່າທຳນຽມຫຍັງແນ່,"ໃນສ່ວນນີ້ແມ່ນຈະຄືກັນໝົດ ຄ່າຮຽນຈະຕ່າງກັນແມ່ນຂຶ້ນຢູ່ກັບຄ່າໜ່ວຍກິດ ເຊິ່ງລາຍລະອຽດໃນການເສຍຄ່າຮຽນທັງໝົດແມ່ນມີ: ຄ່າລົງທະບຽນ 210,000 ກີບ, ຄ່າໜ່ວຍກິດ 35,000 ກີບ ຕໍ່ໜ່ວຍກິດ, ຄ່າບັດຫໍສະໝຸດ 30,000 ກີບ ແລະ ຄ່າບູລະນະຫ້ອງທົດລອງຄອມພິວເຕີ 70,000 ກີບ"
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີເສຍຄ່າທຳນຽມຫຍັງແນ່,"ໃນສ່ວນນີ້ແມ່ນຈະຄືກັນໝົດ ຄ່າຮຽນຈະຕ່າງກັນແມ່ນຂຶ້ນຢູ່ກັບຄ່າໜ່ວຍກິດ ເຊິ່ງລາຍລະອຽດໃນການເສຍຄ່າຮຽນທັງໝົດແມ່ນມີ: ຄ່າລົງທະບຽນ 210,000 ກີບ, ຄ່າໜ່ວຍກິດ 35,000 ກີບ ຕໍ່ໜ່ວຍກິດ, ຄ່າບັດຫໍສະໝຸດ 30,000 ກີບ ແລະ ຄ່າບູລະນະຫ້ອງທົດລອງຄອມພິວເຕີ 70,000 ກີບ"
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,"ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີໜ່ວຍກິດແຕກຕ່າງກັນຕາມແຕ່ລະສາຂາ, ເຊິ່ງຄ່າໜ່ວຍກິດແມ່ນ 35,000ກີບ/ໜ່ວຍກິດ"
ສາຂາວິທະຍາສາດຄອມພິວເຕີເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 1 ເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 1 ເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,"ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ປີ1 ປະກອບມີຈຳນວນໜ່ວຍກິດທັງໝົດ 37 ໜ່ວຍກິດ, ເຊິ່ງຄ່າໜ່ວຍກິດແມ່ນ 35,000ກີບ/ໜ່ວຍກິດ"
ສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 2 ເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 2 ເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,"ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ປີ2 ປະກອບມີຈຳນວນໜ່ວຍກິດທັງໝົດ 38 ໜ່ວຍກິດ, ເຊິ່ງຄ່າໜ່ວຍກິດແມ່ນ 35,000ກີບ/ໜ່ວຍກິດ"
ສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 3 ເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 3 ເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,"ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ປີ3 ປະກອບມີຈຳນວນໜ່ວຍກິດທັງໝົດ 36 ໜ່ວຍກິດ, ເຊິ່ງຄ່າໜ່ວຍກິດແມ່ນ 35,000ກີບ/ໜ່ວຍກິດ"
ສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 4 ເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີປີ 4 ເສຍຄ່າໜ່ວຍກິດເທົ່າໃດ ,"ຫຼັກສູດປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ປີ4 ປະກອບມີຈຳນວນໜ່ວຍກິດທັງໝົດ 26 ໜ່ວຍກິດ, ເຊິ່ງຄ່າໜ່ວຍກິດແມ່ນ 35,000ກີບ/ໜ່ວຍກິດ"
ຖ້າໄດ້ທຶນແມ່ນຮຽນຟີບໍ,"ສຳລັບນັກສຶກສາທຶນ ຫຼື ນັກສຶກສາໃນແຜນ ແມ່ນຈະບໍ່ໄດ້ເສຍຄ່າໜ່ວຍກິດ ແຕ່ຈະໄດ້ເສຍຄ່າລົງທະບຽນນັກສຶກສາ, ຄ່າບັດຫໍສະໝຸດ ແລະ ຄ່າບູລະນະຫ້ອງທົດລອງຄອມພິວເຕີ"
ເສັງໄດ້ທຶນຍັງໄດ້ເສຍຄ່າຮຽນບໍ,"ສຳລັບນັກສຶກສາທີ່ເສັງໄດ້ທຶນ ແມ່ນຈະບໍ່ໄດ້ເສຍຄ່າໜ່ວຍກິດ ແຕ່ຈະໄດ້ເສຍຄ່າລົງທະບຽນນັກສຶກສາ, ຄ່າບັດຫໍສະໝຸດ ແລະ ຄ່າບູລະນະຫ້ອງທົດລອງຄອມພິວເຕີ"
ເປັນນັກສຶກສາທຶນເສຍຄ່າຮຽນເທົ່າໃດ,"ສຳລັບນັກສຶກສາທຶນ ຫຼື ນັກສຶກສາໃນແຜນ ແມ່ນຈະໄດ້ເສຍຄ່າລົງທະບຽນນັກສຶກສາ, ຄ່າບັດຫໍສະໝຸດ ແລະ ຄ່າບູລະນະຫ້ອງທົດລອງຄອມພິວເຕີ ເຊິ່ງລວມເປັນເງິນ 310,000 ກີບ ຕໍ່ປີ"
ຄ່າຮຽນນັກສຶກສາທຶນເສຍຄ່າທຳນຽມຫຍັງແນ່,"ສຳລັບນັກສຶກສາທຶນ ຫຼື ນັກສຶກສາໃນແຜນ ແມ່ນໄດ້ເສຍຄ່າລົງທະບຽນນັກສຶກສາ 210,000 ກີບ, ຄ່າບັດຫໍສະໝຸດ 30,000 ກີບ ແລະ ຄ່າບູລະນະຫ້ອງທົດລອງຄອມພິວເຕີ 70,000 ກີບ"
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີໄດ້ຮຽນກ່ຽວກັບAIບໍ,"ແມ່ນແລ້ວ, ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນໄດ້ສຶກສາກ່ຽວກັບ AI ແລະ ຈະໄດ້ຮຽນໃນວິຊາປັນຍາປະດິດ (Artificial Intelligence) ໃນປີທີ 3 ພາກຮຽນ 1"
ສາຂາວິທະຍາສາດຄອມພິວເຕີໄດ້ຮຽນສ້າງຫຸ່ນຍົນບໍ,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນບໍ່ໄດ້ຮຽນການສ້າງຫຸ່ນຍົນໂດຍກົງ ແຕ່ໃນພາກວິຊາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນມີກຸ່ມນັກປະດິດ NUOL Maker ທີ່ສາມາດແລກປ່ຽນຄວາມຮູ້ ແລະ ຮຽນຮູ້ໃນການສ້າງຫຸ່ນຍົນໄດ້
ຮຽນສາຂາວິທະຍາສາດຄອມພິວເຕີແລ້ວເປັນແຮັກເກີໄດ້ບໍ,"ສາມາດເປັນໄດ້, ເຊິ່ງສາຂາວິທະຍາສາດຄອມພິວເຕີ ຈະບໍ່ໄດ້ສອນໃນດ້ານນີ້ໂດຍກົງ ແຕ່ກໍມີການສອນວິຊາທີ່ກ່ຽວຂ້ອງເຊັ່ນ: ການບໍລິຫານເຄື່ອງແມ່ຂ່າຍ, Computer Security and Forensics ເຊິ່ງນັກສຶກສາສາມາດນຳມາປັບໃຊ້ໄດ້"
ຫຼັກສູດປະລິນຍາຕີຮຽນຈັກປີ,ຫຼັກສູດປະລິນຍາຕີໃນທຸກສາຂາຮຽນໃຊ້ເວລາໃນການສຶກສາທັງໝົດ 4 ປີ ຫຼື 8 ພາກຮຽນ
ສາຂາວິທະຍາສາດຄອມພິວເຕີຮຽນຈັກປີ,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີຮຽນຈັກປີ,ຫຼັກສູດປະລິນຍາຕີໃນທຸກສາຂາຮຽນໃຊ້ເວລາໃນການສຶກສາທັງໝົດ 4 ປີ ຫຼື 8 ພາກຮຽນ
ຫຼັກສູດປະລິນຍາຕີຮຽນຈັກມື້ຕໍ່ອາທິດ,ຫຼັກສູດປະລິນຍາຕີໃນທຸກສາຂາຮຽນໃຊ້ເວລາຮຽນ 5 ມື້ຕໍ່ອາທິດ (ວັນຈັນ ຫາ ວັນສຸກ)
ສາຂາວິທະຍາສາດຄອມພິວເຕີຮຽນຈັກມື້ຕໍ່ອາທິດ,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີຮຽນຈັກມື້ຕໍ່ອາທິດ,ຫຼັກສູດປະລິນຍາຕີໃນທຸກສາຂາຮຽນໃຊ້ເວລາຮຽນ 5 ມື້ຕໍ່ອາທິດ (ວັນຈັນ ຫາ ວັນສຸກ)
ຫຼັກສູດປະລິນຍາຕີມີຮຽນວັນເສົາ-ອາທິດບໍ,ຫຼັກສູດປະລິນຍາຕີທຸກສາຂາແມ່ນບໍ່ມີການຮຽນ-ການສອນໃນວັນເສົາ ແລະ ອາທິດ
ສາຂາວິທະຍາສາດຄອມພິວເຕີມີຮຽນວັນເສົາ-ອາທິດບໍ,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີມີຮຽນວັນເສົາ-ອາທິດບໍ,ຫຼັກສູດປະລິນຍາຕີທຸກສາຂາແມ່ນບໍ່ມີການຮຽນ-ການສອນໃນວັນເສົາ ແລະ ອາທິດ
ຫຼັກສູດປະລິນຍາຕີຮຽນຈັກໂມງຫາຈັກໂມງ,"ຫຼັກສູດປະລິນຍາຕີໃນທຸກສາຂາຮຽນໃຊ້ເວລາຮຽນຄືກັນ ຕອນເຊົ້າ 8:00 ໂມງ - 11:30 ໂມງ, ຕອນບ່າຍ 13:00 ໂມງ - 16:30 ໂມງ"
ສາຂາວິທະຍາສາດຄອມພິວເຕີຮຽນຈັກໂມງຫາຈັກໂມງ,"ທຸກສາຂາໃຊ້ເວລາຮຽນຄືກັນ ຕອນເຊົ້າ 8:00 ໂມງ - 11:30 ໂມງ, ຕອນບ່າຍ 13:00 ໂມງ - 16:30 ໂມງ"
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີຮຽນຈັກໂມງຫາຈັກໂມງ,"ຫຼັກສູດປະລິນຍາຕີໃນທຸກສາຂາຮຽນໃຊ້ເວລາຮຽນຄືກັນ ຕອນເຊົ້າ 8:00 ໂມງ - 11:30 ໂມງ, ຕອນບ່າຍ 13:00 ໂມງ - 16:30 ໂມງ"
ຫຼັກສູດປະລິນຍາຕີມີການໄປທັດສະນະສຶກສາບໍ,ການໄປທັດສະນະສຶກສາໃນທຸກສາຂາຂອງຫຼັກສູດປະລິນຍາຕີ ແມ່ນຈະຕ້ອງຜ່ານການຢັ້ງຢືນຈາກຄະນະວິຊາ ແລະ ຄ່າໃຊ້ຈ່າຍໃນການໄປທັດສະນະສຶກສານັກສຶກສາຈະຕ້ອງຮັບຜິດຊອບເອງ
ສາຂາວິທະຍາສາດຄອມພິວເຕີມີການໄປທັດສະນະສຶກສາບໍ,ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີຫຼາຍຫຼັກສູດ ກະລຸນາລະບຸວ່າຢາກຮູ້ຂອງຫຼັກສູດໃດ
